database name,intro,related subjects,access url,function,img,open_resource,ai_feature,sort
LeapSpace,"LeapSpace is a unified AI-powered platform by Scopus data and ScienceDirect full-text, empowering researchers to gain evidence-based insights, accelerate literature discovery, and make informed decisions with transparent sources from trusted content in Elsevier publications.",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/leapspace,AI Tools,/img/leapspace.svg,n,y,1
Scite,"Scite is an AI-powered academic search platform, with the major features for discovering and evaluating scholarly articles, through smart citations and specialising in the search of citation statements.",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/scite,AI Tools,/img/scite.png,n,y,2
Consensus,"Consensus is an AI-powered academic search tool with functions to speed up the process of finding, understanding and summarising academic papers. It specialises in synthesising scientific consensus on a topic, reflecting the majority view or perspectives on research questions.",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/consensus,AI Tools,/img/consensus.png,n,y,3
Web of Science Research Assistant,"Web of Science, powered by AI, integrates trusted citation data with generative natural-language search and task-based research assistanceâ€”streamlining literature discovery, analysis, visualization, and decision-making.",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/web-science,AI Tools,/img/wos.png,n,y,4
OneSearch,"PolyU Library OneSearch is the Library's main search engine that provides a one-stop platform to discover and access both print and electronic resources with a single search. It helps you quickly find books, e-books, journal articles, multi-media materials and more, and link through to full text where available.",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/,Find Book,/img/onesearch.png,n,n,1
Scopus,"Scopus is a multi-disciplinary, bibliographic database that indexes the content of over 23,700 peer-reviewed journals. Subject coverage includes life sciences, health sciences, physical sciences, engineering, and social sciences. The database also provides citation numbers for articles published after 1996.",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/scopus,A&I,/img/scopus.png,n,n,1
Web of Science,"Web of Science Research Assistant uses Web of Science citation networks to assist with literature synthesis, helping to reveal research trends and summarise findings from its Core Collection, which consists of publications that have met rigorous, expert-led standards for editorial quality and citation impact.",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/web-science,A&I,/img/wos.png,n,n,2
學術期刊庫 (CNKI),"Academic Journals Database (China Journal Full-text Database) is one of the most complete collections focusing on academic, technical, policy-guiding, higher scientific and educational journals. ",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/caj-full-text-database-%E4%B8%AD%E5%9C%8B%E6%9C%9F%E5%88%8A%E5%85%A8%E6%96%87%E6%95%B8%E6%93%9A%E5%BA%AB,Find Article,/img/cnki.png,n,y,3
Google Scholar@PolyU,Google Scholar is a free search engine that helps you find scholarly literature across many disciplines and sources.,Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,"https://scholar.google.com.hk/schhp?hl=en&as_sdt=0,5&inst=10434768688823972643&inst=17644838422235682599&inst=569367360547434339",Find Article,img/google_scholar.svg,y,n,4
CAS SciFinder,"SciFinder Discovery is the most comprehensive database and tool for discovering chemical information. It is developed by Chemical Abstracts Service (CAS). Its contents include journal articles, information on chemical structures, properties, reactions, analytical methods, formulas, and life science data. Users can search literature by topic, author, and search substances by name or CAS Registry Number, or drawing a chemical structure.",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/scifinder%20discovery,Find Article,/img/scifinder.png,n,y,5
